ts,home_id,day,p_cons,p_prod,p_tot
2023-01-12 20:30:00+01:00,CDB005,2023-01-12,456.0610629731575,0.0,456.0610629731575
2023-01-12 20:45:00+01:00,CDB005,2023-01-12,431.753570829119,0.0,431.753570829119
2023-01-12 21:00:00+01:00,CDB005,2023-01-12,258.7530983443809,0.0,258.7530983443809
2023-01-12 21:15:00+01:00,CDB005,2023-01-12,244.82142898014612,0.0,244.82142898014612
2023-01-12 21:30:00+01:00,CDB005,2023-01-12,236.32212492006016,0.0,236.32212492006016
2023-01-12 21:45:00+01:00,CDB005,2023-01-12,133.64642872129167,0.0,133.64642872129167
2023-01-12 22:00:00+01:00,CDB005,2023-01-12,473.8230099973425,0.0,473.8230099973425
2023-01-12 22:15:00+01:00,CDB005,2023-01-12,186.80178560529436,0.0,186.80178560529436
2023-01-12 22:30:00+01:00,CDB005,2023-01-12,173.7938051476943,0.0,173.7938051476943
2023-01-12 22:45:00+01:00,CDB005,2023-01-12,119.09821483067104,0.0,119.09821483067104
2023-01-12 23:00:00+01:00,CDB005,2023-01-12,87.90707971353447,0.0,87.90707971353447
2023-01-12 23:15:00+01:00,CDB005,2023-01-12,129.88303559167045,0.0,129.88303559167045
2023-01-12 23:30:00+01:00,CDB005,2023-01-12,131.0265480649155,0.0,131.0265480649155
2023-01-12 23:45:00+01:00,CDB005,2023-01-12,150.55000032697404,0.0,150.55000032697404
2023-01-13 00:00:00+01:00,CDB005,2023-01-13,114.44513229775218,0.0,114.44513229775218
2023-01-13 00:15:00+01:00,CDB005,2023-01-13,113.78482171467373,0.0,113.78482171467373
2023-01-13 00:30:00+01:00,CDB005,2023-01-13,170.29380582286194,0.0,170.29380582286194
2023-01-13 00:45:00+01:00,CDB005,2023-01-13,679.2062495095389,0.0,679.2062495095389
2023-01-13 01:00:00+01:00,CDB005,2023-01-13,1050.5123922297385,0.0,1050.5123922297385
2023-01-13 01:15:00+01:00,CDB005,2023-01-13,140.64285741533553,0.0,140.64285741533553
2023-01-13 01:30:00+01:00,CDB005,2023-01-13,176.25752217790722,0.0,176.25752217790722
2023-01-13 01:45:00+01:00,CDB005,2023-01-13,174.69107110159737,0.0,174.69107110159737
2023-01-13 02:00:00+01:00,CDB005,2023-01-13,135.43274384895258,0.0,135.43274384895258
2023-01-13 02:15:00+01:00,CDB005,2023-01-13,129.3535714830671,0.0,129.3535714830671
2023-01-13 02:30:00+01:00,CDB005,2023-01-13,168.88938134117464,0.0,168.88938134117464
2023-01-13 02:45:00+01:00,CDB005,2023-01-13,1877.1455392837524,0.0,1877.1455392837524
2023-01-13 03:00:00+01:00,CDB005,2023-01-13,376.99734645607197,0.0,376.99734645607197
2023-01-13 03:15:00+01:00,CDB005,2023-01-13,122.32053640910557,0.0,122.32053640910557
2023-01-13 03:30:00+01:00,CDB005,2023-01-13,144.20353941790825,0.0,144.20353941790825
2023-01-13 03:45:00+01:00,CDB005,2023-01-13,115.20267827170235,0.0,115.20267827170235
2023-01-13 04:00:00+01:00,CDB005,2023-01-13,83.40088498275892,0.0,83.40088498275892
2023-01-13 04:15:00+01:00,CDB005,2023-01-13,147.78482048852104,0.0,147.78482048852104
2023-01-13 04:30:00+01:00,CDB005,2023-01-13,136.3460166728602,0.0,136.3460166728602
2023-01-13 04:45:00+01:00,CDB005,2023-01-13,91.67410727909633,0.0,91.67410727909633
2023-01-13 05:00:00+01:00,CDB005,2023-01-13,179.56371678715257,0.0,179.56371678715257
2023-01-13 05:15:00+01:00,CDB005,2023-01-13,155.61875125340052,0.0,155.61875125340052
2023-01-13 05:30:00+01:00,CDB005,2023-01-13,177.82743362831857,0.0,177.82743362831857
2023-01-13 05:45:00+01:00,CDB005,2023-01-13,169.80803639548165,0.0,169.80803639548165
2023-01-13 06:00:00+01:00,CDB005,2023-01-13,218.995575491306,0.0,218.995575491306
2023-01-13 06:15:00+01:00,CDB005,2023-01-13,202.11428655896867,0.0,202.11428655896867
2023-01-13 06:30:00+01:00,CDB005,2023-01-13,170.3238949395914,0.0,170.3238949395914
2023-01-13 06:45:00+01:00,CDB005,2023-01-13,158.2142858505249,0.0,158.2142858505249
2023-01-13 07:00:00+01:00,CDB005,2023-01-13,205.88938039593992,0.0,205.88938039593992
